year,month,max_temp,min_temp,daily_avg,precipitation,snow,snow_depth,low_freezing,high_freezing,avg_freezing
1970,1,14.580645161290322,-3.5161290322580645,5.532258064516129,0.015161290322580645,0.31612903225806455,18.70967741935484,31,27,30
1970,2,25.821428571428573,4.857142857142857,15.339285714285714,0.005714285714285714,0.15357142857142855,13.785714285714286,28,17,27
1970,3,33.61290322580645,18.387096774193548,26.0,0.0661290322580645,0.27741935483870966,4.774193548387097,31,13,25
1970,4,55.766666666666666,36.4,46.083333333333336,0.11833333333333333,0.043333333333333335,0.0,7,0,3
1970,5,68.06451612903226,48.806451612903224,58.435483870967744,0.15387096774193548,0.0,0.0,0,0,0
1970,6,81.36666666666666,61.03333333333333,71.2,0.042333333333333334,0.0,0.0,0,0,0
1970,7,86.25806451612904,64.06451612903226,75.16129032258064,0.11806451612903227,0.0,0.0,0,0,0
1970,8,82.54838709677419,61.25806451612903,71.90322580645162,0.0706451612903226,0.0,0.0,0,0,0
1970,9,71.13333333333334,51.2,61.166666666666664,0.10633333333333334,0.0,0.0,0,0,0
1970,10,58.12903225806452,41.064516129032256,49.596774193548384,0.16032258064516128,0.0,0.0,3,0,0
1970,11,39.53333333333333,25.866666666666667,32.7,0.12733333333333335,0.21,0.5,18,3,9
1970,12,26.451612903225808,9.935483870967742,18.193548387096776,0.013870967741935485,0.1774193548387097,1.7096774193548387,31,22,27
1971,1,14.709677419354838,-1.7096774193548387,6.5,0.03935483870967742,0.6419354838709677,7.870967741935484,31,29,31
1971,2,25.035714285714285,9.035714285714286,17.035714285714285,0.062142857142857146,0.49642857142857144,13.0,27,18,24
1971,3,35.193548387096776,20.838709677419356,28.016129032258064,0.03903225806451613,0.22580645161290322,3.870967741935484,27,11,20
1971,4,58.9,35.03333333333333,46.96666666666667,0.037,0.06333333333333332,0.06666666666666667,9,1,2
1971,5,67.03225806451613,43.774193548387096,55.403225806451616,0.10129032258064515,0.0064516129032258064,0.0,0,0,0
1971,6,81.3,61.666666666666664,71.48333333333333,0.11733333333333332,0.0,0.0,0,0,0
1971,7,79.80645161290323,57.774193548387096,68.79032258064517,0.1270967741935484,0.0,0.0,0,0,0
1971,8,81.58064516129032,57.45161290322581,69.51612903225806,0.05741935483870967,0.0,0.0,0,0,0
1971,9,73.33333333333333,52.266666666666666,62.8,0.091,0.0,0.0,0,0,0
1971,10,60.32258064516129,42.516129032258064,51.41935483870968,0.18322580645161293,0.0,0.0,2,0,0
1971,11,39.233333333333334,26.2,32.71666666666667,0.089,0.44666666666666666,1.2666666666666666,23,9,15
1971,12,25.612903225806452,11.129032258064516,18.370967741935484,0.022580645161290325,0.4129032258064516,5.838709677419355,30,22,29
1972,1,15.0,-4.0,5.5,0.027096774193548386,0.39354838709677414,9.806451612903226,31,25,31
1972,2,19.75862068965517,1.1379310344827587,10.448275862068966,0.01689655172413793,0.26206896551724135,14.379310344827585,29,24,29
1972,3,34.54838709677419,18.35483870967742,26.451612903225808,0.04032258064516129,0.33548387096774196,6.967741935483871,26,8,19
1972,4,50.93333333333333,32.86666666666667,41.9,0.05633333333333333,0.26666666666666666,0.06666666666666667,11,0,4
1972,5,72.16129032258064,50.32258064516129,61.24193548387097,0.07032258064516128,0.0,0.0,0,0,0
1972,6,78.33333333333333,53.733333333333334,66.03333333333333,0.11033333333333334,0.0,0.0,0,0,0
1972,7,77.93548387096774,59.03225806451613,68.48387096774194,0.16516129032258065,0.0,0.0,0,0,0
1972,8,79.2258064516129,60.38709677419355,69.80645161290323,0.08,0.0,0.0,0,0,0
1972,9,68.13333333333334,47.666666666666664,57.9,0.06533333333333333,0.0,0.0,1,0,0
1972,10,52.54838709677419,34.903225806451616,43.725806451612904,0.05709677419354839,0.0,0.0,12,0,4
1972,11,37.333333333333336,27.133333333333333,32.233333333333334,0.037000000000000005,0.03666666666666667,0.0,21,7,14
1972,12,18.483870967741936,3.967741935483871,11.225806451612904,0.05064516129032258,0.49354838709677423,3.225806451612903,31,27,30
1973,1,25.967741935483872,8.67741935483871,17.322580645161292,0.029677419354838707,0.3741935483870968,5.774193548387097,30,18,26
1973,2,28.892857142857142,14.214285714285714,21.553571428571427,0.03,0.4035714285714286,6.071428571428571,26,16,26
1973,3,47.064516129032256,33.25806451612903,40.16129032258065,0.03612903225806452,0.012903225806451613,0.41935483870967744,11,0,0
1973,4,53.6,35.1,44.35,0.07733333333333334,0.06666666666666667,0.1,12,1,2
1973,5,65.38709677419355,45.03225806451613,55.20967741935484,0.08,0.0,0.0,0,0,0
1973,6,81.03333333333333,58.03333333333333,69.53333333333333,0.035333333333333335,0.0,0.0,0,0,0
1973,7,83.90322580645162,63.61290322580645,73.75806451612904,0.09354838709677421,0.0,0.0,0,0,0
1973,8,82.41935483870968,64.38709677419355,73.40322580645162,0.09838709677419354,0.0,0.0,0,0,0
1973,9,68.8,51.333333333333336,60.06666666666667,0.06933333333333333,0.0,0.0,0,0,0
1973,10,63.32258064516129,44.29032258064516,53.806451612903224,0.04161290322580645,0.0,0.0,1,0,0
1973,11,42.0,26.5,34.25,0.06566666666666666,0.0033333333333333335,0.0,21,3,11
1973,12,23.096774193548388,10.225806451612904,16.661290322580644,0.035483870967741936,0.5774193548387097,4.032258064516129,30,23,29
1974,1,20.70967741935484,3.129032258064516,11.919354838709678,0.005483870967741936,0.08064516129032258,7.354838709677419,30,19,27
1974,2,26.285714285714285,7.392857142857143,16.839285714285715,0.03785714285714286,0.5607142857142857,10.178571428571429,28,18,27
1974,3,37.74193548387097,21.322580645161292,29.532258064516128,0.03225806451612903,0.24838709677419354,0.8387096774193549,30,6,14
1974,4,57.36666666666667,36.766666666666666,47.06666666666667,0.08066666666666666,0.24333333333333332,0.5,10,0,0
1974,5,64.2258064516129,44.54838709677419,54.38709677419355,0.06709677419354838,0.0,0.0,1,0,0
1974,6,76.33333333333333,54.733333333333334,65.53333333333333,0.17366666666666666,0.0,0.0,0,0,0
1974,7,87.74193548387096,65.51612903225806,76.62903225806451,0.0367741935483871,0.0,0.0,0,0,0
1974,8,77.64516129032258,57.03225806451613,67.33870967741936,0.08870967741935484,0.0,0.0,0,0,0
1974,9,67.2,43.4,55.3,0.019333333333333334,0.0,0.0,2,0,0
