city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Brainerd,Brainerd,MN,Minnesota,27035,Crow Wing,46.3553,-94.1982,19583,426,polygon,FALSE,TRUE,America/Chicago,3,56401,1840006644
Sartell,Sartell,MN,Minnesota,27145,Stearns,45.6187,-94.2207,18926,726,polygon,FALSE,TRUE,America/Chicago,3,56377,1840008886
Hopkins,Hopkins,MN,Minnesota,27053,Hennepin,44.9261,-93.4056,18468,1752,polygon,FALSE,TRUE,America/Chicago,3,55305 55343,1840006749
St. Michael,St. Michael,MN,Minnesota,27171,Wright,45.2014,-93.692,18204,215,polygon,FALSE,TRUE,America/Chicago,3,55313 55376,1840008901
Otsego,Otsego,MN,Minnesota,27171,Wright,45.266,-93.62,18113,236,polygon,FALSE,TRUE,America/Chicago,3,55301 55330 55362,1840008899
Albert Lea,Albert Lea,MN,Minnesota,27047,Freeborn,43.6547,-93.3642,17656,513,polygon,FALSE,TRUE,America/Chicago,3,56007,1840006824
Anoka,Anoka,MN,Minnesota,27003,Anoka,45.2099,-93.3893,17549,1017,polygon,FALSE,TRUE,America/Chicago,3,55303,1840006717
Buffalo,Buffalo,MN,Minnesota,27171,Wright,45.1796,-93.8644,16993,846,polygon,FALSE,TRUE,America/Chicago,3,55313,1840006703
Bemidji,Bemidji,MN,Minnesota,27007,Beltrami,47.4828,-94.8796,16807,409,polygon,FALSE,TRUE,America/Chicago,3,56601 56619,1840006600
Ham Lake,Ham Lake,MN,Minnesota,27003,Anoka,45.2545,-93.2039,16783,188,polygon,FALSE,TRUE,America/Chicago,3,55304,1840006720
Red Wing,Red Wing,MN,Minnesota,27049,Goodhue,44.5816,-92.6036,16320,180,polygon,FALSE,TRUE,America/Chicago,3,55089 55066,1840008959
Cambridge,Cambridge,MN,Minnesota,27059,Isanti,45.5612,-93.2283,16143,474,polygon,FALSE,TRUE,America/Chicago,3,55008,1840006692
Hibbing,Hibbing,MN,Minnesota,27137,St. Louis,47.3981,-92.9487,15855,33,polygon,FALSE,TRUE,America/Chicago,3,55746,1840006594
Hugo,Hugo,MN,Minnesota,27163,Washington,45.1671,-92.9588,15267,176,polygon,FALSE,TRUE,America/Chicago,3,55110 55038,1840006739
Robbinsdale,Robbinsdale,MN,Minnesota,27053,Hennepin,45.0261,-93.3332,14389,1987,polygon,FALSE,TRUE,America/Chicago,3,55422,1840008931
Sauk Rapids,Sauk Rapids,MN,Minnesota,27009,Benton,45.5981,-94.1539,14146,869,polygon,FALSE,TRUE,America/Chicago,3,56379,1840008873
Hutchinson,Hutchinson,MN,Minnesota,27085,McLeod,44.8856,-94.3768,13983,636,polygon,FALSE,TRUE,America/Chicago,3,55350,1840006756
North Mankato,North Mankato,MN,Minnesota,27103,Nicollet,44.1813,-94.0387,13948,862,polygon,FALSE,TRUE,America/Chicago,3,56003,1840007896
Fergus Falls,Fergus Falls,MN,Minnesota,27111,Otter Tail,46.2853,-96.076,13794,368,polygon,FALSE,TRUE,America/Chicago,3,56537 56538,1840007747
Vadnais Heights,Vadnais Heights,MN,Minnesota,27123,Ramsey,45.057,-93.0748,13607,753,polygon,FALSE,TRUE,America/Chicago,3,55127 55110,1840010004
Rogers,Rogers,MN,Minnesota,27053,Hennepin,45.1865,-93.5783,13490,204,polygon,FALSE,TRUE,America/Chicago,3,55374,1840008932
Marshall,Marshall,MN,Minnesota,27083,Lyon,44.4488,-95.7897,13487,509,polygon,FALSE,TRUE,America/Chicago,3,56258,1840007879
Mounds View,Mounds View,MN,Minnesota,27123,Ramsey,45.1071,-93.2076,13324,1268,polygon,FALSE,TRUE,America/Chicago,3,55112,1840007840
New Ulm,New Ulm,MN,Minnesota,27015,Brown,44.3121,-94.4686,13212,502,polygon,FALSE,TRUE,America/Chicago,3,56073,1840007894
Worthington,Worthington,MN,Minnesota,27105,Nobles,43.6281,-95.599,13099,645,polygon,FALSE,TRUE,America/Chicago,3,56187,1840010036
Cloquet,Cloquet,MN,Minnesota,27017,Carlton,46.7221,-92.4923,12813,131,polygon,FALSE,TRUE,America/Chicago,3,55720,1840006646
North St. Paul,North St. Paul,MN,Minnesota,27123,Ramsey,45.0137,-92.9995,12506,1691,polygon,FALSE,TRUE,America/Chicago,3,55109,1840007843
Waconia,Waconia,MN,Minnesota,27019,Carver,44.8412,-93.7927,12428,1033,polygon,FALSE,TRUE,America/Chicago,3,55387,1840010008
St. Peter,St. Peter,MN,Minnesota,27103,Nicollet,44.3296,-93.9659,12421,756,polygon,FALSE,TRUE,America/Chicago,3,56082,1840008972
Virginia,Virginia,MN,Minnesota,27137,St. Louis,47.5169,-92.5128,12381,172,polygon,FALSE,TRUE,America/Chicago,3,55792 55777,1840009954
East Bethel,East Bethel,MN,Minnesota,27003,Anoka,45.3557,-93.2038,12038,104,polygon,FALSE,TRUE,America/Chicago,3,55092 55011 55005,1840007797
Mendota Heights,Mendota Heights,MN,Minnesota,27037,Dakota,44.8815,-93.14,11343,482,polygon,FALSE,TRUE,America/Chicago,3,55120 55118 55150,1840007855
Big Lake,Big Lake,MN,Minnesota,27141,Sherburne,45.3416,-93.7431,11226,615,polygon,FALSE,TRUE,America/Chicago,3,55309,1840006701
Grand Rapids,Grand Rapids,MN,Minnesota,27061,Itasca,47.238,-93.5327,11214,191,polygon,FALSE,TRUE,America/Chicago,3,55744 55730 55745,1840007714
North Branch,North Branch,MN,Minnesota,27025,Chisago,45.5137,-92.9601,10767,116,polygon,FALSE,TRUE,America/Chicago,3,55056 55032,1840007790
Little Canada,Little Canada,MN,Minnesota,27123,Ramsey,45.0244,-93.0863,10501,1040,polygon,FALSE,TRUE,America/Chicago,3,55117,1840008936
Arden Hills,Arden Hills,MN,Minnesota,27123,Ramsey,45.0721,-93.167,10281,469,polygon,FALSE,TRUE,America/Chicago,3,55112,1840006752
Victoria,Victoria,MN,Minnesota,27019,Carver,44.8634,-93.6586,10206,452,polygon,FALSE,TRUE,America/Chicago,3,55386 55331 55318,1840010007
Fairmont,Fairmont,MN,Minnesota,27091,Martin,43.6441,-94.4621,10030,257,polygon,FALSE,TRUE,America/Chicago,3,56031,1840007950
Hermantown,Hermantown,MN,Minnesota,27137,St. Louis,46.8058,-92.2407,9637,108,polygon,FALSE,TRUE,America/Chicago,3,55814 55810 55811,1840006593
Mound,Mound,MN,Minnesota,27053,Hennepin,44.9328,-93.6591,9509,1283,polygon,FALSE,TRUE,America/Chicago,3,55364,1840007828
Little Falls,Little Falls,MN,Minnesota,27097,Morrison,45.9833,-94.36,9406,450,polygon,FALSE,TRUE,America/Chicago,3,56345,1840008861
Zimmerman,Zimmerman,MN,Minnesota,27141,Sherburne,45.4416,-93.5981,9300,666,polygon,FALSE,TRUE,America/Chicago,3,55398,1840009993
Detroit Lakes,Detroit Lakes,MN,Minnesota,27005,Becker,46.806,-95.8449,9288,322,polygon,FALSE,TRUE,America/Chicago,3,56501 56502,1840006632
Lake Elmo,Lake Elmo,MN,Minnesota,27163,Washington,44.9944,-92.9031,9210,160,polygon,FALSE,TRUE,America/Chicago,3,55042,1840007814
Thief River Falls,Thief River Falls,MN,Minnesota,27113,Pennington,48.1112,-96.1771,9147,602,polygon,FALSE,TRUE,America/Chicago,3,56701,1840008825
Lindstrom,Lindstrom,MN,Minnesota,27025,Chisago,45.387,-92.8477,9023,482,polygon,FALSE,TRUE,America/Chicago,3,55045,1840008892
St. Anthony,St. Anthony,MN,Minnesota,27053,Hennepin,45.0278,-93.2174,9013,1556,polygon,FALSE,TRUE,America/Chicago,3,55421 55418,1840008933
Waseca,Waseca,MN,Minnesota,27161,Waseca,44.0826,-93.5025,8984,861,polygon,FALSE,TRUE,America/Chicago,3,56093,1840010030
Oak Grove,Oak Grove,MN,Minnesota,27003,Anoka,45.3409,-93.3264,8917,101,polygon,FALSE,TRUE,America/Chicago,3,55011 55303 55005,1840007799
New Prague,New Prague,MN,Minnesota,27079,Le Sueur,44.5459,-93.5758,8859,834,polygon,FALSE,TRUE,America/Chicago,3,56071,1840007882
East Grand Forks,East Grand Forks,MN,Minnesota,27119,Polk,47.9284,-97.0138,8535,561,polygon,FALSE,TRUE,America/Chicago,3,56721,1840007700
Baxter,Baxter,MN,Minnesota,27035,Crow Wing,46.3426,-94.2793,8364,171,polygon,FALSE,TRUE,America/Chicago,3,56425,1840006643
Orono,Orono,MN,Minnesota,27053,Hennepin,44.9657,-93.5908,8339,202,polygon,FALSE,TRUE,America/Chicago,3,55391 55356 55323,1840008927
Mahtomedi,Mahtomedi,MN,Minnesota,27163,Washington,45.0619,-92.966,8294,926,polygon,FALSE,TRUE,America/Chicago,3,55110 55115,1840008913
Minnetrista,Minnetrista,MN,Minnesota,27053,Hennepin,44.9356,-93.7103,8130,121,polygon,FALSE,TRUE,America/Chicago,3,55331 55364 55375 55359,1840007833
Shorewood,Shorewood,MN,Minnesota,27053,Hennepin,44.9033,-93.5903,8084,584,polygon,FALSE,TRUE,America/Chicago,3,55331 55364,1840008925
Wyoming,Wyoming,MN,Minnesota,27025,Chisago,45.3365,-92.9766,8066,150,polygon,FALSE,TRUE,America/Chicago,3,55079 55092 55013 55025,1840009992
St. Francis,St. Francis,MN,Minnesota,27003,Anoka,45.3991,-93.3902,7916,131,polygon,FALSE,TRUE,America/Chicago,3,55330 55070,1840008905
Crookston,Crookston,MN,Minnesota,27119,Polk,47.7747,-96.6062,7835,579,polygon,FALSE,TRUE,America/Chicago,3,56716,1840006604
Waite Park,Waite Park,MN,Minnesota,27145,Stearns,45.5313,-94.2528,7768,237,polygon,FALSE,TRUE,America/Chicago,3,56387 56301 56388 56399,1840009989
Kasson,Kasson,MN,Minnesota,27039,Dodge,44.0333,-92.7482,7715,824,polygon,FALSE,TRUE,America/Chicago,3,55944,1840007913
Albertville,Albertville,MN,Minnesota,27171,Wright,45.2364,-93.6618,7539,658,polygon,FALSE,TRUE,America/Chicago,3,55301,1840006706
St. Joseph,St. Joseph,MN,Minnesota,27145,Stearns,45.5611,-94.3081,7351,691,polygon,FALSE,TRUE,America/Chicago,3,56374 56301,1840008882
Belle Plaine,Belle Plaine,MN,Minnesota,27139,Scott,44.6188,-93.7643,7185,467,polygon,FALSE,TRUE,America/Chicago,3,56011,1840006775
Spring Lake Park,Spring Lake Park,MN,Minnesota,27003,Anoka,45.1161,-93.2451,6919,1340,polygon,FALSE,TRUE,America/Chicago,3,55432,1840008903
Medina,Medina,MN,Minnesota,27053,Hennepin,45.0326,-93.5834,6712,101,polygon,FALSE,TRUE,America/Chicago,3,55340 55356 55359,1840007827
Dayton,Dayton,MN,Minnesota,27053,Hennepin,45.1906,-93.4758,6686,110,polygon,FALSE,TRUE,America/Chicago,3,55369 55327,1840006750
Litchfield,Litchfield,MN,Minnesota,27093,Meeker,45.1221,-94.5255,6650,579,polygon,FALSE,TRUE,America/Chicago,3,55355,1840008912
Jordan,Jordan,MN,Minnesota,27139,Scott,44.6652,-93.6351,6402,774,polygon,FALSE,TRUE,America/Chicago,3,55352,1840007864
International Falls,International Falls,MN,Minnesota,27071,Koochiching,48.5884,-93.4083,6382,350,polygon,FALSE,TRUE,America/Winnipeg,3,56649 56679,1840007684
Delano,Delano,MN,Minnesota,27171,Wright,45.0383,-93.7922,6302,579,polygon,FALSE,TRUE,America/Chicago,3,55328,1840006710
Corcoran,Corcoran,MN,Minnesota,27053,Hennepin,45.1089,-93.5837,6250,67,polygon,FALSE,TRUE,America/Chicago,3,55340 55374 55357,1840006744
Isanti,Isanti,MN,Minnesota,27059,Isanti,45.4928,-93.2407,6120,478,polygon,FALSE,TRUE,America/Chicago,3,55040,1840007789
Stewartville,Stewartville,MN,Minnesota,27109,Olmsted,43.8605,-92.4896,6094,727,polygon,FALSE,TRUE,America/Chicago,3,55976,1840008985
Byron,Byron,MN,Minnesota,27109,Olmsted,44.0379,-92.6411,5639,723,polygon,FALSE,TRUE,America/Chicago,3,55920,1840006809
Glencoe,Glencoe,MN,Minnesota,27085,McLeod,44.7699,-94.1512,5544,680,polygon,FALSE,TRUE,America/Chicago,3,55336,1840007845
Falcon Heights,Falcon Heights,MN,Minnesota,27123,Ramsey,44.9899,-93.177,5528,955,polygon,FALSE,TRUE,America/Chicago,3,55113 55108,1840007838
St. Paul Park,St. Paul Park,MN,Minnesota,27163,Washington,44.836,-92.9949,5362,697,polygon,FALSE,TRUE,America/Chicago,3,55071,1840008917
North Oaks,North Oaks,MN,Minnesota,27123,Ramsey,45.1002,-93.0882,5351,298,polygon,FALSE,TRUE,America/Chicago,3,55127,1840007842
Morris,Morris,MN,Minnesota,27149,Stevens,45.5856,-95.9048,5333,440,polygon,FALSE,TRUE,America/Chicago,3,56267,1840007786
Chisago City,Chisago City,MN,Minnesota,27025,Chisago,45.3474,-92.9116,5224,160,polygon,FALSE,TRUE,America/Chicago,3,55013,1840000269
Montrose,Montrose,MN,Minnesota,27171,Wright,45.0668,-93.9206,5208,421,polygon,FALSE,TRUE,America/Chicago,3,55363,1840007796
Lake City,Lake City,MN,Minnesota,27157,Wabasha,44.4453,-92.2796,5162,441,polygon,FALSE,TRUE,America/Chicago,3,55041,1840000321
Carver,Carver,MN,Minnesota,27019,Carver,44.76,-93.6305,5046,440,polygon,FALSE,TRUE,America/Chicago,3,55315 55318,1840006758
Montevideo,Montevideo,MN,Minnesota,27023,Chippewa,44.9505,-95.7153,5043,413,polygon,FALSE,TRUE,America/Chicago,3,56265,1840007837
La Crescent,La Crescent,MN,Minnesota,27055,Houston,43.8299,-91.3043,5029,582,polygon,FALSE,TRUE,America/Chicago,3,55947,1840007938
Oak Park Heights,Oak Park Heights,MN,Minnesota,27163,Washington,45.0324,-92.8099,5003,667,polygon,FALSE,TRUE,America/Chicago,3,55082,1840007812
Princeton,Princeton,MN,Minnesota,27095,Mille Lacs,45.5689,-93.59,4975,383,polygon,FALSE,TRUE,America/Chicago,3,55371,1840008869
Redwood Falls,Redwood Falls,MN,Minnesota,27127,Redwood,44.5471,-95.1031,4963,363,polygon,FALSE,TRUE,America/Chicago,3,56283,1840008961
Becker,Becker,MN,Minnesota,27141,Sherburne,45.3815,-93.8737,4954,181,polygon,FALSE,TRUE,America/Chicago,3,55308,1840006700
Circle Pines,Circle Pines,MN,Minnesota,27003,Anoka,45.1409,-93.1505,4938,1090,polygon,FALSE,TRUE,America/Chicago,3,55014,1840006711
Chisholm,Chisholm,MN,Minnesota,27137,St. Louis,47.4877,-92.8788,4849,417,polygon,FALSE,TRUE,America/Chicago,3,55719,1840006588
Rockford,Rockford,MN,Minnesota,27171,Wright,45.092,-93.7453,4831,687,polygon,FALSE,TRUE,America/Chicago,3,55313 55373,1840008900
Elko New Market,Elko New Market,MN,Minnesota,27139,Scott,44.5667,-93.338,4774,542,polygon,FALSE,TRUE,America/Chicago,3,55020 55054,1840007863
Nowthen,Nowthen,MN,Minnesota,27003,Anoka,45.3421,-93.4495,4741,54,polygon,FALSE,TRUE,America/Chicago,3,55303 55330,1840022338
Wayzata,Wayzata,MN,Minnesota,27053,Hennepin,44.9671,-93.5161,4657,580,polygon,FALSE,TRUE,America/Chicago,3,55391,1840010000
Cold Spring,Cold Spring,MN,Minnesota,27145,Stearns,45.4572,-94.4296,4601,622,polygon,FALSE,TRUE,America/Chicago,3,56320,1840006682
Luverne,Luverne,MN,Minnesota,27133,Rock,43.6533,-96.2146,4531,485,polygon,FALSE,TRUE,America/Chicago,3,56156,1840008995
Watertown,Watertown,MN,Minnesota,27019,Carver,44.9603,-93.8431,4529,665,polygon,FALSE,TRUE,America/Chicago,3,55388,1840010009
Sauk Centre,Sauk Centre,MN,Minnesota,27145,Stearns,45.736,-94.9523,4505,417,polygon,FALSE,TRUE,America/Chicago,3,56378,1840008887
Dilworth,Dilworth,MN,Minnesota,27027,Clay,46.8795,-96.6986,4422,531,polygon,FALSE,TRUE,America/Chicago,3,56529,1840006637
St. James,St. James,MN,Minnesota,27165,Watonwan,43.9832,-94.6249,4400,729,polygon,FALSE,TRUE,America/Chicago,3,56081,1840008994
Windom,Windom,MN,Minnesota,27033,Cottonwood,43.8736,-95.1201,4386,418,polygon,FALSE,TRUE,America/Chicago,3,56101,1840010032
Cokato,Cokato,MN,Minnesota,27171,Wright,45.0771,-94.1879,4326,688,polygon,FALSE,TRUE,America/Chicago,3,55321,1840006705
Park Rapids,Park Rapids,MN,Minnesota,27057,Hubbard,46.917,-95.0577,4235,220,polygon,FALSE,TRUE,America/Chicago,3,56470,1840008839
Lonsdale,Lonsdale,MN,Minnesota,27131,Rice,44.4776,-93.422,4207,615,polygon,FALSE,TRUE,America/Chicago,3,55046,1840008969
Scandia,Scandia,MN,Minnesota,27163,Washington,45.254,-92.8278,4176,46,polygon,FALSE,TRUE,America/Chicago,3,55073 55047,1840008918
Rice Lake,Rice Lake,MN,Minnesota,27137,St. Louis,46.8977,-92.1137,4139,49,polygon,FALSE,TRUE,America/Chicago,3,55803,1840032021
Columbus,Columbus,MN,Minnesota,27003,Anoka,45.2685,-93.081,4130,35,polygon,FALSE,TRUE,America/Chicago,3,55025,1840006713
Grant,Grant,MN,Minnesota,27163,Washington,45.0825,-92.909,4116,63,polygon,FALSE,TRUE,America/Chicago,3,55115 55082,1840007809
Goodview,Goodview,MN,Minnesota,27169,Winona,44.0693,-91.7167,4109,719,polygon,FALSE,TRUE,America/Chicago,3,55959 55987,1840007920
Wadena,Wadena,MN,Minnesota,27159,Wadena,46.4452,-95.1281,4105,293,polygon,FALSE,TRUE,America/Chicago,3,56482,1840009971
Le Sueur,Le Sueur,MN,Minnesota,27079,Le Sueur,44.4704,-93.9025,4057,302,polygon,FALSE,TRUE,America/Chicago,3,56058,1840007887
Cannon Falls,Cannon Falls,MN,Minnesota,27049,Goodhue,44.5122,-92.9034,4050,348,polygon,FALSE,TRUE,America/Chicago,3,55009,1840006778
Pipestone,Pipestone,MN,Minnesota,27117,Pipestone,43.9958,-96.3117,4046,376,polygon,FALSE,TRUE,America/Chicago,3,56164,1840008980
Centerville,Centerville,MN,Minnesota,27003,Anoka,45.164,-93.054,4002,727,polygon,FALSE,TRUE,America/Chicago,3,55038,1840006715
Deephaven,Deephaven,MN,Minnesota,27053,Hennepin,44.9318,-93.5293,3928,652,polygon,FALSE,TRUE,America/Chicago,3,55331 55391,1840006751
St. Augusta,St. Augusta,MN,Minnesota,27145,Stearns,45.4497,-94.1996,3835,49,polygon,FALSE,TRUE,America/Chicago,3,55320 56301 56397 56398,1840008880
Independence,Independence,MN,Minnesota,27053,Hennepin,45.0219,-93.7077,3803,45,polygon,FALSE,TRUE,America/Chicago,3,55359 55572 55577 55592 55593 55599,1840007834
Norwood Young America,Norwood Young America,MN,Minnesota,27019,Carver,44.7721,-93.9192,3769,609,polygon,FALSE,TRUE,America/Chicago,3,55397 55368 55554,1840007849
Bayport,Bayport,MN,Minnesota,27163,Washington,45.0152,-92.7789,3765,825,polygon,FALSE,TRUE,America/Chicago,3,55003,1840006737
St. Charles,St. Charles,MN,Minnesota,27169,Winona,43.9688,-92.0591,3758,378,polygon,FALSE,TRUE,America/Chicago,3,55972,1840008991
Melrose,Melrose,MN,Minnesota,27145,Stearns,45.6757,-94.8128,3656,444,polygon,FALSE,TRUE,America/Chicago,3,56352,1840007782
Mora,Mora,MN,Minnesota,27065,Kanabec,45.8768,-93.2914,3653,265,polygon,FALSE,TRUE,America/Chicago,3,55051,1840007765
Perham,Perham,MN,Minnesota,27111,Otter Tail,46.6,-95.5773,3645,396,polygon,FALSE,TRUE,America/Chicago,3,56573,1840008852
New London,New London,MN,Minnesota,27067,Kandiyohi,45.2975,-94.9476,3619,435,polygon,FALSE,TRUE,America/Chicago,3,56288 56273,1840007801
Newport,Newport,MN,Minnesota,27163,Washington,44.8744,-92.9975,3588,382,polygon,FALSE,TRUE,America/Chicago,3,55055,1840007811
Eveleth,Eveleth,MN,Minnesota,27137,St. Louis,47.4637,-92.5443,3569,218,polygon,FALSE,TRUE,America/Chicago,3,55734,1840007687
Annandale,Annandale,MN,Minnesota,27171,Wright,45.2598,-94.1205,3554,448,polygon,FALSE,TRUE,America/Chicago,3,55302,1840006707
Two Harbors,Two Harbors,MN,Minnesota,27075,Lake,47.03,-91.675,3529,416,polygon,FALSE,TRUE,America/Chicago,3,55616,1840009960
Hanover,Hanover,MN,Minnesota,27171,Wright,45.158,-93.6631,3507,248,polygon,FALSE,TRUE,America/Chicago,3,55341,1840006708
Zumbrota,Zumbrota,MN,Minnesota,27049,Goodhue,44.295,-92.6734,3501,494,polygon,FALSE,TRUE,America/Chicago,3,55992,1840000306
Pine Island,Pine Island,MN,Minnesota,27049,Goodhue,44.197,-92.6165,3475,230,polygon,FALSE,TRUE,America/Chicago,3,55963,1840008958
Crosby,Crosby,MN,Minnesota,27035,Crow Wing,46.4892,-93.9573,3385,303,polygon,FALSE,TRUE,America/Chicago,3,56441,1840006640
Sleepy Eye,Sleepy Eye,MN,Minnesota,27015,Brown,44.2988,-94.7235,3356,705,polygon,FALSE,TRUE,America/Chicago,3,56085,1840008970
Ely,Ely,MN,Minnesota,27137,St. Louis,47.9054,-91.8517,3355,443,polygon,FALSE,TRUE,America/Chicago,3,55731,1840007686
Long Prairie,Long Prairie,MN,Minnesota,27153,Todd,45.9775,-94.8629,3301,465,polygon,FALSE,TRUE,America/Chicago,3,56347,1840008859
Plainview,Plainview,MN,Minnesota,27157,Wabasha,44.1648,-92.1697,3298,594,polygon,FALSE,TRUE,America/Chicago,3,55964,1840008973
Rush City,Rush City,MN,Minnesota,27025,Chisago,45.6875,-92.9654,3218,291,polygon,FALSE,TRUE,America/Chicago,3,55069,1840000270
Jackson,Jackson,MN,Minnesota,27063,Jackson,43.6288,-94.9886,3179,258,polygon,FALSE,TRUE,America/Chicago,3,56143,1840007942
Breckenridge,Breckenridge,MN,Minnesota,27167,Wilkin,46.2662,-96.585,3172,484,polygon,FALSE,TRUE,America/Chicago,3,56520,1840004003
Moose Lake,Moose Lake,MN,Minnesota,27017,Carlton,46.4445,-92.7634,3151,353,polygon,FALSE,TRUE,America/Chicago,3,55767,1840007743
Pine City,Pine City,MN,Minnesota,27115,Pine,45.8367,-92.9683,3146,315,polygon,FALSE,TRUE,America/Chicago,3,55063,1840000237
Blue Earth,Blue Earth,MN,Minnesota,27043,Faribault,43.6404,-94.1004,3108,378,polygon,FALSE,TRUE,America/Chicago,3,56013,1840006841
Eagle Lake,Eagle Lake,MN,Minnesota,27013,Blue Earth,44.1616,-93.8846,3087,771,polygon,FALSE,TRUE,America/Chicago,3,56024,1840007903
Montgomery,Montgomery,MN,Minnesota,27079,Le Sueur,44.4452,-93.5797,3050,471,polygon,FALSE,TRUE,America/Chicago,3,56069,1840007883
Benson,Benson,MN,Minnesota,27151,Swift,45.3152,-95.6058,3043,378,polygon,FALSE,TRUE,America/Chicago,3,56215,1840006727
Greenfield,Greenfield,MN,Minnesota,27053,Hennepin,45.0997,-93.6884,3038,57,polygon,FALSE,TRUE,America/Chicago,3,55373 55357,1840007825
Proctor,Proctor,MN,Minnesota,27137,St. Louis,46.7416,-92.2276,3028,357,polygon,FALSE,TRUE,America/Chicago,3,55810,1840008818
Afton,Afton,MN,Minnesota,27163,Washington,44.9042,-92.8174,3028,46,polygon,FALSE,TRUE,America/Chicago,3,55001,1840006736
Staples,Staples,MN,Minnesota,27153,Todd,46.369,-94.8018,3000,243,polygon,FALSE,TRUE,America/Chicago,3,56479,1840008860
Milaca,Milaca,MN,Minnesota,27095,Mille Lacs,45.7573,-93.6522,2930,342,polygon,FALSE,TRUE,America/Chicago,3,56353,1840007761
Mountain Iron,Mountain Iron,MN,Minnesota,27137,St. Louis,47.5473,-92.6252,2834,16,polygon,FALSE,TRUE,America/Chicago,3,55768,1840007692
Chatfield,Chatfield,MN,Minnesota,27045,Fillmore,43.8445,-92.1829,2829,421,polygon,FALSE,TRUE,America/Chicago,3,55923,1840006837
Roseau,Roseau,MN,Minnesota,27135,Roseau,48.8446,-95.7623,2804,390,polygon,FALSE,TRUE,America/Chicago,3,56751,1840008814
Albany,Albany,MN,Minnesota,27145,Stearns,45.6284,-94.5677,2769,491,polygon,FALSE,TRUE,America/Chicago,3,56307,1840006683
Dodge Center,Dodge Center,MN,Minnesota,27039,Dodge,44.0289,-92.8507,2768,509,polygon,FALSE,TRUE,America/Chicago,3,55927,1840006808
Caledonia,Caledonia,MN,Minnesota,27055,Houston,43.6344,-91.5009,2753,376,polygon,FALSE,TRUE,America/Chicago,3,55921,1840006833
Osseo,Osseo,MN,Minnesota,27053,Hennepin,45.1179,-93.3992,2738,1424,polygon,FALSE,TRUE,America/Chicago,3,55369 55569,1840008928
Cohasset,Cohasset,MN,Minnesota,27061,Itasca,47.2389,-93.6396,2725,39,polygon,FALSE,TRUE,America/Chicago,3,55744 55721,1840006610
Granite Falls,Granite Falls,MN,Minnesota,27173,Yellow Medicine,44.8107,-95.5375,2698,294,polygon,FALSE,TRUE,America/Chicago,3,56241,1840007851
Foley,Foley,MN,Minnesota,27009,Benton,45.6636,-93.9095,2673,403,polygon,FALSE,TRUE,America/Chicago,3,56329,1840007776
Lexington,Lexington,MN,Minnesota,27003,Anoka,45.1381,-93.1714,2652,1485,polygon,FALSE,TRUE,America/Chicago,3,55014,1840007800
Sandstone,Sandstone,MN,Minnesota,27115,Pine,46.1292,-92.8646,2639,193,polygon,FALSE,TRUE,America/Chicago,3,55072,1840008858
Glenwood,Glenwood,MN,Minnesota,27121,Pope,45.6517,-95.3643,2611,181,polygon,FALSE,TRUE,America/Chicago,3,56334,1840007788
Barnesville,Barnesville,MN,Minnesota,27027,Clay,46.6501,-96.4164,2602,485,polygon,FALSE,TRUE,America/Chicago,3,56514,1840006634
Rockville,Rockville,MN,Minnesota,27145,Stearns,45.465,-94.3222,2585,35,polygon,FALSE,TRUE,America/Chicago,3,56320 56369 56301,1840008877
Pelican Rapids,Pelican Rapids,MN,Minnesota,27111,Otter Tail,46.5701,-96.086,2552,388,polygon,FALSE,TRUE,America/Chicago,3,56572,1840008851
Lauderdale,Lauderdale,MN,Minnesota,27123,Ramsey,44.9942,-93.2026,2521,2322,polygon,FALSE,TRUE,America/Chicago,2,55113 55108,1840007844
Paynesville,Paynesville,MN,Minnesota,27145,Stearns,45.3786,-94.7216,2519,422,polygon,FALSE,TRUE,America/Chicago,3,56362,1840008875
Le Center,Le Center,MN,Minnesota,27079,Le Sueur,44.3866,-93.7311,2516,578,polygon,FALSE,TRUE,America/Chicago,3,56057,1840007886
Lake Crystal,Lake Crystal,MN,Minnesota,27013,Blue Earth,44.1054,-94.2188,2495,558,polygon,FALSE,TRUE,America/Chicago,3,56055,1840007905
Wabasha,Wabasha,MN,Minnesota,27157,Wabasha,44.3707,-92.042,2473,116,polygon,FALSE,TRUE,America/Chicago,3,55981,1840010023
Breezy Point,Breezy Point,MN,Minnesota,27035,Crow Wing,46.6081,-94.218,2413,79,polygon,FALSE,TRUE,America/Chicago,3,56472,1840004002
Spring Valley,Spring Valley,MN,Minnesota,27045,Fillmore,43.6888,-92.3897,2410,316,polygon,FALSE,TRUE,America/Chicago,3,55975,1840009010
St. Bonifacius,St. Bonifacius,MN,Minnesota,27053,Hennepin,44.9054,-93.7476,2374,881,polygon,FALSE,TRUE,America/Chicago,3,55375,1840008934
Crosslake,Crosslake,MN,Minnesota,27035,Crow Wing,46.6755,-94.0955,2354,35,polygon,FALSE,TRUE,America/Chicago,3,56442,1840031784
Excelsior,Excelsior,MN,Minnesota,27053,Hennepin,44.9025,-93.5663,2340,1435,polygon,FALSE,TRUE,America/Chicago,3,55331,1840007823
Olivia,Olivia,MN,Minnesota,27129,Renville,44.777,-94.9971,2335,363,polygon,FALSE,TRUE,America/Chicago,3,56277,1840008952
