Code,Name,Scientific_Name
CNS,Channel Shiner,Notropis wickliffi
SDM,Slender Madtom,Noturus exilis
STC,Stonecat,Noturus flavus
TPM,Tadpole Madtom,Noturus gyrinus
SMT,Speckled Madtom,Noturus leptacanthus
PKS,Pink Salmon,Oncorhynchus gorbuscha
COS,Coho Salmon,Oncorhynchus kisutch
RBT,Rainbow Trout,Oncorhynchus mykiss
CHS,Chinook Salmon,Oncorhynchus tshawytscha
PGM,Pugnose Minnow,Opsopoeodus emiliae
TIL,Blue Tilapia,Oreochromis aureus
RBS,Rainbow Smelt,Osmerus mordax
YEP,Yellow Perch,Perca flavescens
LGP,Logperch,Percina caprodes
GLD,Gilt Darter,Percina evides
BSD,Blackside Darter,Percina maculata
SHD,Slenderhead Darter,Percina phoxocephala
RVD,River Darter,Percina shumardi
TRP,Trout-Perch,Percopsis omiscomaycus
SEL,Sea Lamprey,Petromyzon marinus
SKM,Suckermouth Minnow,Phenacobius mirabilis
BNM,Bluntnose Minnow,Pimephales notatus
FHM,Fathead Minnow,Pimephales promelas
BHM,Bullhead Minnow,Pimephales vigilax
FLC,Flathead Chub,Platygobio gracilis
PAH,Paddlefish,Polyodon spathula
WHC,White Crappie,Pomoxis annularis
BLC,Black Crappie,Pomoxis nigromaculatus
PGW,Pygmy Whitefish,Prosopium coulterii
RDW,Round Whitefish,Prosopium cylindraceum
TNG,Tubenose Goby,Proterorhinus marmoratus
NST,Ninespine Stickleback,Pungitius pungitius
FCF,Flathead Catfish,Pylodictis olivaris
BND,Blacknose Dace,Rhinichthys atratulus
LND,Longnose Dace,Rhinichthys cataractae
ATS,Atlantic Salmon,Salmo salar
BNT,Brown Trout,Salmo trutta
SPT,Splake,Salvelinus namaycush x fontinalis
ARC,Arctic Char,Salvelinus alpinus
BKT,Brook Trout,Salvelinus fontinalis
LAT,Lake Trout,Salvelinus namaycush
SCT,Siscowet,Salvelinus namaycush
WAS,Walleye/Sauger,Sander lucius x canadensis
SAR,Sauger,Sander canadensis
WAE,Walleye,Sander vitreus
SLS,Shovelnose Sturgeon,Scaphirhynchus platorynchus
CRC,Creek Chub,Semotilus atromaculatus
ARG,Arctic Grayling,Thymallus arcticus
CNM,Central Mudminnow,Umbra limi
